Delta_0,Theta_0,Alpha_0,Beta_0,Gamma_0,IEN_0,Delta_1,Theta_1,Alpha_1,Beta_1,Gamma_1,IEN_1,Delta_2,Theta_2,Alpha_2,Beta_2,Gamma_2,IEN_2,Delta_3,Theta_3,Alpha_3,Beta_3,Gamma_3,IEN_3,IEN_Global,mean_0,mean_1,mean_2,mean_3,mean_d_h2h1_0,mean_d_h2h1_1,mean_d_h2h1_2,mean_d_h2h1_3,std_0,std_1,std_2,std_3,std_d_h2h1_0,std_d_h2h1_1,std_d_h2h1_2,std_d_h2h1_3,Label
0.013981373170088403,0.0038367770063757367,0.002046008859088182,0.0015720674558535807,0.0009101214602586687,0.26718638165966424,0.003103106510563991,0.001580405164616661,0.0008271295465453376,0.0005942785781128833,0.0004610055452008955,0.24673863962133777,0.06225876024055823,0.009621239602549746,0.015622389403046007,0.020675622854990573,0.021437694561842295,0.8190107626619345,0.006033567511790712,0.002545233964584802,0.0019063224032486998,0.0010676598239270614,0.0008399526891472822,0.23978580746110956,0.39318039785101155,22.20726953125,28.718921875000003,45.53793359375,12.1039921875,0.8156340851530927,-4.119931362980207,-24.170110787870694,4.57236893455952,21.187909059962287,5.057081752192884,336.6658962781581,9.48938025224147,2.622223073192835,2.241413102805281,36.1989026634954,6.017003987918537,2.0
0.06005454615198895,0.0769642846711722,0.028676064112523568,0.014649901763224496,0.01022824738242948,0.1386758303627935,0.07948053659750294,0.04881015434362883,0.014078530748452745,0.012641242993232334,0.0073360461497677465,0.20100661936410283,0.07856373159386423,0.02722066521779214,0.027675925016494584,0.012703470941305669,0.012527283394070955,0.23140307046431366,0.1112272927853922,0.060482266457390646,0.029224643722519452,0.02119204229308659,0.01094237195755462,0.23623381985586042,0.2018298350117676,22.6916953125,18.17511328125,15.758519531249998,45.81263671875,1.0347741139075417,-4.33456818364354,0.8554104403601421,-8.006386340676386,11.378271750875737,7.77513192593129,7.81435589376475,11.553765080567828,3.6045444512216207,0.8802509222796262,-2.67645951314558,2.3294209717082737,1.0
0.07002573561387995,0.04474516994939586,0.03040087709107097,0.013171979743042246,0.009941402019330185,0.17528273247981532,0.03974099067618254,0.025595821532254592,0.024943383798250666,0.04065484746753203,0.029208572438620895,0.8044060605150215,0.04126132526136751,0.024042318895472963,0.010842944455426788,0.009390079174371195,0.00782064957272094,0.2691626523575221,0.08164465370182261,0.04679438155160393,0.03385627034173098,0.01672842263454724,0.010289858264360132,0.2074157471277992,0.3640667981200395,15.645988281249998,24.2080625,30.126574218750005,16.06940625,-12.078495862392495,-3.7843018606866887,6.179475735238178,-10.399792471024112,15.562609824109664,37.33173090996274,9.620168325957287,16.50942922069007,2.6972841957298086,1.7642196909417507,1.4046910223035327,3.323333974717096,2.0
0.0076700727781389534,0.002796375258267114,0.002279388194335888,0.0012217150038709554,0.001102283356288391,0.24064840035919874,0.002283250460708273,0.001211358755041145,0.0008056120694261982,0.0007103009342216946,0.0005921927728257043,0.3519877124136238,0.1319242888912112,0.022133876340714367,0.015050089885053844,0.014755391781302512,0.01793370572163858,0.39681068127681696,0.004005943230841058,0.002191818691602231,0.0019823600715372282,0.0008564890985080062,0.0005738402736810871,0.2051383059497991,0.29864627499985963,27.51351171875,33.19168750000001,-88.23774999999998,17.442718750000004,-1.968572702282969,-0.7782607206314368,152.04454230825098,3.8225548305770314,14.07676092606961,4.182680116382507,325.09319411139546,6.9615297784739925,4.654721006447531,0.45411515945181735,25.0076008914786,2.683220368632156,2.0
0.019306528944269607,0.009030618088866819,0.004825322476593631,0.002930360436511272,0.0014353563998486323,0.21147239700337847,0.008442885728693096,0.001961292871886604,0.0014057682115189416,0.0009331298390195823,0.0006095313886329633,0.2770525284167552,0.14885132231260984,0.007505544079906998,0.009148810921388108,0.01229710189646448,0.020522637445859398,0.7383272164122751,0.01907728651750476,0.011234500737684523,0.005645419936910157,0.0029087678287128575,0.001606197611744041,0.17231097075709104,0.34979077814737497,25.88079766536965,48.35887937743188,-0.16148249027238004,3.9252645914396886,-4.045909842370261,-17.758532267265014,244.7630423013996,-8.72814094586955,32.86314817335359,13.268439379107514,329.9339378286647,33.24528453765524,-27.289026958243404,-3.1597245843161654,16.17607945608313,-35.49919961189766,2.0
0.050846982894260526,0.05424541777738808,0.025284732691944853,0.014915606442206688,0.011164563041361967,0.18754420568778418,0.0764670414805825,0.030928926522979287,0.020537879703857332,0.012741756208727827,0.0081358520679607,0.2475675017615954,0.114497221577408,0.06045784890051303,0.03235388862694386,0.018697662052938796,0.009322898228329086,0.20145577591014863,0.07959099670653225,0.0543572070002853,0.026372615642279013,0.016807982927704947,0.0097604201141801,0.2081978403976172,0.21119133093928635,24.98816796875,30.225765625,30.3211171875,3.06127734375,-4.8673870333301785,-4.125025181827279,-12.542369767431923,-6.570749613550156,16.546791272309058,6.926523166699216,10.726816819793516,8.797868921319385,-0.7492311334499994,0.004926998336503452,-3.894777321165728,-1.2317696769337008,0.0
0.02517146488874969,0.019608657837480278,0.010863745446732107,0.005378717120783524,0.0040892451964406945,0.1765052977712575,0.01835528204911616,0.010497894606511642,0.004807298727357561,0.0032814230258734972,0.002060524315710743,0.21438531150736465,0.0778781746103557,0.020273659590327058,0.013021294462445519,0.02563911935774366,0.024853976790508023,0.7700370836981218,0.03784210125307539,0.018797328492389798,0.0071024518837103584,0.0044379330806351815,0.0033754345883968253,0.171343604949072,0.333067824481454,33.57509765625001,31.12024609375,-59.69617968749999,11.003511718749996,4.561344405399254,5.7947535634160445,-18.69757612711784,12.581028600589148,19.728833409024634,9.4596704177349,96.56591065313089,17.995206058985044,3.7741785566635775,-3.139441741533842,2.213441284279554,-3.0607463526843848,2.0
0.011487769553506194,0.0030283773727481475,0.0025654405063143294,0.0015354316407458909,0.001201275307440056,0.2744381808194234,0.0027537462522578006,0.0014626782708035235,0.0006749281490116597,0.0006249737225521502,0.00044907764436046335,0.29223410009503287,0.09128966549929263,0.018485132911280403,0.02062348933674052,0.016518236095310335,0.017899878557549872,0.42235734189803414,0.006327092531020835,0.003153303223151318,0.001757127217325765,0.0011165241286416414,0.000694153940284898,0.22733176050706427,0.3040903458298887,36.972046875,29.0794140625,68.04272656250002,24.64100390625,-12.496711595709415,-4.99792251762744,-118.6294820413658,10.482238343172934,21.03243987187229,5.139185064455759,304.0251920289825,11.09375107680726,2.7249678409475635,-0.03287033599054734,-34.24622275909172,5.194764891479281,2.0
0.0792265204421106,0.07367490835370909,0.05013535155020641,0.02223644193394922,0.013743453088397705,0.1795995126065751,0.07786040068183739,0.03757541615643406,0.04354220653050968,0.019368710142288727,0.010563548050076846,0.23877020467959909,0.16492724371271178,0.08082690482357968,0.07199476848229223,0.037323018714219475,0.02167611257035964,0.24422435432416562,0.11507713793366195,0.07614950855084833,0.029396828178527443,0.021569257031964644,0.015154144843359927,0.20435624147739884,0.21673757827193466,24.42933984375,28.8772578125,24.4140546875,21.17728515625,-2.564410000947955,-0.5528295475514895,2.0045922442336632,-3.616789168268397,9.036536461617938,4.974782848493691,10.041601855851843,7.583771455687994,1.8889260252042472,-1.2992335064951046,1.691353802365116,-0.7650469287051411,1.0
0.06382638529106724,0.02479146795501933,0.027899624921580785,0.01662262754330279,0.009047426371760148,0.31546721027444113,0.06089283774162883,0.03177942018456829,0.017737998393369144,0.010638083631448665,0.005475692750914727,0.21483084349120118,0.18108256009976978,0.04980569812161727,0.04708371313749329,0.020933728607437172,0.013759580679874463,0.21605573075187856,0.06315771918945288,0.04344486163133702,0.022158715943698122,0.010907929784502758,0.008877215836898858,0.16626781526070844,0.22815539994455733,21.869679687500003,25.920875,22.111890625,17.78409765625,2.696431002067367,-0.8413086363476338,-20.877866088273223,-0.5498994359689178,10.544769631718916,6.287456443739125,17.726978650940453,7.806663341459204,-0.5764786068799737,-1.8028754598803944,-2.6081743663926047,-0.9637630659905786,1.0
